RA,FASE_NUM,TEMPO_PROGRAMA,DEFASAGEM_ANALISE,STATUS_DEFASAGEM_2024,IDA,IEG,IAA_MODELO,IPS,IPP,IPV,INDE_2024,PEDRA_2024,PROB_RISCO_2025,RANK_RISCO_2025,PERCENTIL_RISCO_2025,RANK_RISCO_FASE_2025,PERCENTIL_RISCO_FASE_2025,PRIORIDADE_2025,PERFIL_RADAR,RISCO_OCULTO,PONTO_CEGO,STATUS_MODELO
RA-559,3,3,0,Sem defasagem,3.1666666666666665,5.705128205,10.002,8.13,6.25,4.728,6.158158974333333,Ágata,0.9579393955949517,29,97.34,3,99.05,Muito alta,Risco oculto,True,False,Elegível
RA-555,3,3,-1,Com defasagem,4.333333333333333,2.750517598333333,10.002,6.885,5.0,5.03,5.111470186333333,Quartzo,0.9578475639425665,30,97.25,4,98.58,Muito alta,Crítico persistente,False,False,Elegível
RA-847,1,2,-1,Com defasagem,1.0,4.5454545455,9.002,5.01,7.5,6.245,5.009290909100001,Quartzo,0.9565558022955415,31,97.15,9,95.68,Muito alta,Crítico persistente,False,False,Elegível
RA-1286,0,0,0,Sem defasagem,7.0,5.051759834,8.002,2.51,5.3125,4.61,5.914801966800001,Quartzo,0.9564228292214224,32,97.06,11,94.9,Muito alta,Risco oculto,True,False,Elegível
RA-616,3,3,0,Sem defasagem,3.8333333333333335,3.087719298333333,7.5,6.885,6.458333333,4.946666667,5.457877193033333,Quartzo,0.9531909469427664,33,96.96,5,98.1,Muito alta,Risco oculto,True,False,Elegível
RA-1420,1,0,-2,Com defasagem,4.5,5.520833333500001,7.918,6.26,6.458333333,5.44,5.6558,Quartzo,0.9506391670347052,34,96.87,10,95.14,Muito alta,Crítico persistente,False,False,Elegível
RA-1108,3,1,0,Sem defasagem,3.6666666666666665,3.7546583853333337,9.168,8.13,7.1875,5.422,6.017215010400001,Ágata,0.9502153562132728,35,96.77,6,97.63,Muito alta,Risco oculto,True,False,Elegível
RA-369,3,2,0,Sem defasagem,1.6666666666666667,4.908119658333334,8.751,7.51,6.40625,5.428,5.667282265,Quartzo,0.949839957667761,36,96.68,7,97.16,Muito alta,Risco oculto,True,False,Elegível
RA-747,1,2,-2,Com defasagem,2.25,8.095238095,10.002,5.005,7.083333333,5.335,5.8450809523,Quartzo,0.947121473635235,37,96.58,11,94.59,Muito alta,Crítico persistente,False,False,Elegível
RA-965,0,1,-2,Com defasagem,2.25,6.4772727275,9.002,7.51,8.75,6.83,6.1376545455,Ágata,0.946359341764973,38,96.49,12,94.39,Muito alta,Crítico persistente,False,False,Elegível
RA-776,1,2,-1,Com defasagem,0.0,5.9523809525,7.917,5.63,8.333333333,6.5,5.178509523800001,Quartzo,0.9446297951524029,39,96.39,12,94.05,Muito alta,Crítico persistente,False,False,Elegível
RA-1458,2,0,-1,Com defasagem,3.25,7.280701754500001,8.751,7.51,6.041666667,5.213333333,5.879073684200001,Quartzo,0.9437401054364122,40,96.3,8,96.22,Muito alta,Crítico persistente,False,False,Elegível
RA-1013,0,1,-1,Com defasagem,7.75,5.693779904,9.002,2.51,5.0,4.72,5.7839559808,Quartzo,0.9437149902901615,41,96.2,13,93.88,Muito alta,Crítico persistente,False,False,Elegível
RA-836,1,2,-1,Com defasagem,2.75,6.439393939,9.502,7.51,7.34375,6.25,6.0234537878,Ágata,0.941764314693851,42,96.11,13,93.51,Muito alta,Crítico persistente,False,False,Elegível
RA-1530,3,0,0,Sem defasagem,2.833333333333333,2.5238095237666665,0.0,8.13,7.03125,5.258,4.6391535714200005,Quartzo,0.9407844757226427,43,96.02,8,96.68,Muito alta,Risco oculto,True,False,Elegível
RA-1055,1,1,-2,Com defasagem,5.5,5.7954545455,10.002,7.51,7.1875,5.87,6.403040909100001,Ágata,0.939369538628066,44,95.92,14,92.97,Muito alta,Crítico persistente,False,False,Elegível
RA-1308,0,0,-1,Com defasagem,6.0,7.445652174,10.002,7.51,7.5,5.933333333,6.876997101400001,Ágata,0.9387531110021772,45,95.83,14,93.37,Muito alta,Crítico persistente,False,False,Elegível
