RA,PEDRA_2022,PEDRA_2023,PEDRA_2024,PEDRA_ORDEM_2022,PEDRA_ORDEM_2023,PEDRA_ORDEM_2024,DELTA_PEDRA_22_23,DELTA_PEDRA_23_24,DELTA_PEDRA_22_24,MOVIMENTO_22_24
RA-819,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-820,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-822,Ágata,Ágata,Quartzo,2,2.0,1.0,0.0,-1.0,-1.0,Recuo
RA-826,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-827,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-829,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-830,Ametista,Ágata,Ametista,3,2.0,3.0,-1.0,1.0,0.0,Manutenção
RA-831,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-832,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-833,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-834,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-836,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-837,Topázio,Topázio,Ametista,4,4.0,3.0,0.0,-1.0,-1.0,Recuo
RA-840,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-841,Ametista,Ágata,Ágata,3,2.0,2.0,-1.0,0.0,-1.0,Recuo
RA-842,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-847,Ágata,Ágata,Quartzo,2,2.0,1.0,0.0,-1.0,-1.0,Recuo
RA-850,Ametista,Ágata,Ametista,3,2.0,3.0,-1.0,1.0,0.0,Manutenção
RA-851,Ametista,Ágata,Ágata,3,2.0,2.0,-1.0,0.0,-1.0,Recuo
RA-853,Topázio,Ametista,Ametista,4,3.0,3.0,-1.0,0.0,-1.0,Recuo
RA-854,Topázio,Ágata,Ametista,4,2.0,3.0,-2.0,1.0,-1.0,Recuo
RA-855,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-858,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-859,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-860,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
