RA,PEDRA_2022,PEDRA_2023,PEDRA_2024,PEDRA_ORDEM_2022,PEDRA_ORDEM_2023,PEDRA_ORDEM_2024,DELTA_PEDRA_22_23,DELTA_PEDRA_23_24,DELTA_PEDRA_22_24,MOVIMENTO_22_24
RA-472,Quartzo,Ágata,Ágata,1,2.0,2.0,1.0,0.0,1.0,Avanço
RA-474,Ágata,Quartzo,Ágata,2,1.0,2.0,-1.0,1.0,0.0,Manutenção
RA-476,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-479,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-480,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-483,Quartzo,Ágata,Ágata,1,2.0,2.0,1.0,0.0,1.0,Avanço
RA-484,Ágata,Quartzo,Quartzo,2,1.0,1.0,-1.0,0.0,-1.0,Recuo
RA-487,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-490,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-491,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-493,Topázio,Ametista,Ametista,4,3.0,3.0,-1.0,0.0,-1.0,Recuo
RA-494,Ágata,Ametista,Ametista,2,3.0,3.0,1.0,0.0,1.0,Avanço
RA-496,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-497,Ágata,Quartzo,Quartzo,2,1.0,1.0,-1.0,0.0,-1.0,Recuo
RA-499,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-500,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-501,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-502,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-503,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-508,Ágata,Ametista,Ágata,2,3.0,2.0,1.0,-1.0,0.0,Manutenção
RA-509,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-513,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-514,Ametista,Quartzo,Ágata,3,1.0,2.0,-2.0,1.0,-1.0,Recuo
RA-516,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-517,Ametista,Ágata,Quartzo,3,2.0,1.0,-1.0,-1.0,-2.0,Recuo
RA-518,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-521,Ametista,Ágata,Ametista,3,2.0,3.0,-1.0,1.0,0.0,Manutenção
RA-522,Topázio,Ametista,Topázio,4,3.0,4.0,-1.0,1.0,0.0,Manutenção
RA-524,Ágata,Ametista,Ametista,2,3.0,3.0,1.0,0.0,1.0,Avanço
RA-526,Topázio,Topázio,Ametista,4,4.0,3.0,0.0,-1.0,-1.0,Recuo
RA-527,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-528,Quartzo,Ametista,Ametista,1,3.0,3.0,2.0,0.0,2.0,Avanço
RA-529,Ágata,Ametista,Quartzo,2,3.0,1.0,1.0,-2.0,-1.0,Recuo
RA-530,Topázio,Ametista,Ametista,4,3.0,3.0,-1.0,0.0,-1.0,Recuo
RA-531,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-534,Ametista,Quartzo,Ametista,3,1.0,3.0,-2.0,2.0,0.0,Manutenção
RA-535,Ágata,Topázio,Ametista,2,4.0,3.0,2.0,-1.0,1.0,Avanço
RA-536,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-538,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-539,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-542,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-543,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-546,Ágata,Ágata,Quartzo,2,2.0,1.0,0.0,-1.0,-1.0,Recuo
RA-547,Ametista,Ágata,Ametista,3,2.0,3.0,-1.0,1.0,0.0,Manutenção
RA-548,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-549,Ágata,Ametista,Ágata,2,3.0,2.0,1.0,-1.0,0.0,Manutenção
RA-555,Quartzo,Quartzo,Quartzo,1,1.0,1.0,0.0,0.0,0.0,Manutenção
RA-556,Ametista,Ametista,Quartzo,3,3.0,1.0,0.0,-2.0,-2.0,Recuo
RA-557,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-558,Quartzo,Ágata,Quartzo,1,2.0,1.0,1.0,-1.0,0.0,Manutenção
RA-559,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-562,Ametista,Ágata,Topázio,3,2.0,4.0,-1.0,2.0,1.0,Avanço
RA-563,Topázio,Ametista,Topázio,4,3.0,4.0,-1.0,1.0,0.0,Manutenção
RA-568,Ametista,Ágata,Quartzo,3,2.0,1.0,-1.0,-1.0,-2.0,Recuo
RA-570,Quartzo,Ágata,Ágata,1,2.0,2.0,1.0,0.0,1.0,Avanço
RA-571,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-573,Topázio,Ametista,Ametista,4,3.0,3.0,-1.0,0.0,-1.0,Recuo
RA-576,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-577,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-578,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-580,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-581,Ágata,Ametista,Ametista,2,3.0,3.0,1.0,0.0,1.0,Avanço
RA-583,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-584,Ágata,Ametista,Ágata,2,3.0,2.0,1.0,-1.0,0.0,Manutenção
RA-586,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-587,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-588,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-590,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-591,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-592,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-594,Ametista,Ágata,Ágata,3,2.0,2.0,-1.0,0.0,-1.0,Recuo
RA-597,Topázio,Topázio,Ametista,4,4.0,3.0,0.0,-1.0,-1.0,Recuo
RA-599,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-600,Ágata,Ametista,Ametista,2,3.0,3.0,1.0,0.0,1.0,Avanço
RA-601,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-602,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-603,Ametista,Ágata,Ágata,3,2.0,2.0,-1.0,0.0,-1.0,Recuo
RA-604,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-605,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-606,Ágata,Ametista,Ágata,2,3.0,2.0,1.0,-1.0,0.0,Manutenção
RA-607,Ágata,Ametista,Ametista,2,3.0,3.0,1.0,0.0,1.0,Avanço
RA-608,Ametista,Ametista,Quartzo,3,3.0,1.0,0.0,-2.0,-2.0,Recuo
RA-610,Topázio,Topázio,Ametista,4,4.0,3.0,0.0,-1.0,-1.0,Recuo
RA-612,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-613,Topázio,Ágata,Ametista,4,2.0,3.0,-2.0,1.0,-1.0,Recuo
RA-614,Topázio,Topázio,Ametista,4,4.0,3.0,0.0,-1.0,-1.0,Recuo
RA-616,Ametista,Quartzo,Quartzo,3,1.0,1.0,-2.0,0.0,-2.0,Recuo
RA-618,Ametista,Ágata,Ágata,3,2.0,2.0,-1.0,0.0,-1.0,Recuo
RA-620,Ágata,Ametista,Quartzo,2,3.0,1.0,1.0,-2.0,-1.0,Recuo
RA-623,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-624,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-626,Quartzo,Ametista,Ágata,1,3.0,2.0,2.0,-1.0,1.0,Avanço
RA-628,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-629,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-630,Topázio,Ametista,Ágata,4,3.0,2.0,-1.0,-1.0,-2.0,Recuo
