RA,FASE_NUM,TEMPO_PROGRAMA,IDA,IEG,IAA_MODELO,IPS,IPV,PROB_RISCO_2025,RANK_RISCO_2025,PERCENTIL_RISCO_2025,RANK_RISCO_FASE_2025,PERCENTIL_RISCO_FASE_2025,PRIORIDADE_2025,STATUS_MODELO,MOTIVO_NAO_ELEGIBILIDADE
RA-1482,2,0,0.0,5.0,8.502,7.51,6.8725,0.9377994201794962,46,95.73,9,95.68,Muito alta,Elegível,
RA-1301,0,0,7.0,2.9166666665000003,9.502,2.51,6.0,0.9372368370412749,47,95.64,15,92.86,Muito alta,Elegível,
RA-716,1,2,5.75,5.5335968375,9.002,7.51,5.7875,0.9367290706982664,48,95.54,15,92.43,Muito alta,Elegível,
RA-841,2,2,3.25,6.3272311215000006,10.002,7.51,5.83,0.9331684015043004,49,95.45,10,95.14,Muito alta,Elegível,
RA-1353,0,0,3.0,9.5,8.002,7.51,6.08,0.9323555329239969,50,95.35,16,92.35,Muito alta,Elegível,
RA-1146,3,1,2.0,5.017209691,10.002,6.88,5.883333333,0.9321399466501079,51,95.26,9,96.21,Muito alta,Elegível,
RA-620,3,3,2.5,3.984126984333333,8.334,7.51,5.886666667,0.9318436058052503,52,95.16,10,95.73,Muito alta,Elegível,
RA-919,0,1,5.25,4.692513369,7.002,6.255,6.49,0.9309462214952375,53,95.07,17,91.84,Muito alta,Elegível,
RA-1147,3,1,3.1666666666666665,6.125925926,8.751,8.755,5.495,0.9308082060237243,54,94.97,11,95.26,Muito alta,Elegível,
RA-568,3,3,5.166666666666667,3.2619047620000003,7.917,8.13,5.496,0.9299181906942426,55,94.88,12,94.79,Muito alta,Elegível,
RA-636,2,2,5.25,4.9043062200000005,8.002,7.51,5.553333333,0.9297317751408146,56,94.78,11,94.59,Muito alta,Elegível,
RA-1358,0,0,4.0,7.380952381,9.168,5.01,6.17,0.9287780245154854,57,94.69,18,91.33,Muito alta,Elegível,
RA-1116,3,1,2.333333333333333,3.3555555556666667,0.0,6.26,5.066,0.9287400942205079,58,94.59,13,94.31,Muito alta,Elegível,
RA-1360,0,0,5.0,7.0018115945,8.502,7.51,6.42,0.9281669386992674,59,94.5,19,90.82,Muito alta,Elegível,
RA-851,1,2,6.0,7.3221343875,9.002,5.63,5.106666667,0.9264768736882479,60,94.4,16,91.89,Muito alta,Elegível,
RA-665,2,2,4.75,5.068181818,8.334,5.63,5.443333333,0.9245853467339038,61,94.31,12,94.05,Muito alta,Elegível,
RA-1564,4,0,2.1666666666666665,4.942067736333334,8.334,6.885,5.2875,0.9243577874563297,62,94.21,2,99.13,Muito alta,Elegível,
RA-1136,3,1,1.6666666666666667,4.547899159666667,8.751,8.135,6.383333333,0.9242478893565894,63,94.12,14,93.84,Muito alta,Elegível,
RA-1446,1,0,0.0,6.6501976285,8.002,6.26,7.075,0.9228939790321999,64,94.02,17,91.35,Muito alta,Elegível,
RA-762,2,2,3.75,6.4239130435,10.002,6.26,5.7525,0.9192669478488825,65,93.93,13,93.51,Muito alta,Elegível,
RA-1095,3,1,2.333333333333333,7.84502924,7.5,7.51,5.125,0.9183612103097575,66,93.83,15,93.36,Muito alta,Elegível,
RA-1112,3,1,4.0,9.02791197,9.585,8.135,4.705,0.9182622234310628,67,93.74,16,92.89,Muito alta,Elegível,
